op_side,op_type,op_name,full_op_name,op_occurrences,op_total_time(ms),op_avg_time(ms),total_proportion,subgraph,pid
Host,Conv2DBackpropFilter,Conv2DBackpropFilter-op119,Gradients/Default/network-WithLossCell/_backbone-LeNet5/conv2-Conv2d/gradConv2D/Conv2DBackpropFilter-op119,1875,3157.71,1.68411,0.0746183,Default,5799
Host,ApplyMomentum,ApplyMomentum-op124,Default/optimizer-Momentum/ApplyMomentum-op124,1875,503.97,0.268784,0.0119091,Default,5799
Host,MaxPoolGrad,MaxPoolGrad-op116,Gradients/Default/network-WithLossCell/_backbone-LeNet5/max_pool2d-MaxPool2d/gradMaxPool/MaxPoolGrad-op116,1875,2038.12,1.087,0.0481618,Default,5799
Host,Reshape,Reshape-op115,Gradients/Default/network-WithLossCell/_backbone-LeNet5/flatten-Flatten/gradReshape/Reshape-op115,1875,20.7041,0.0110422,0.000489248,Default,5799
Host,ApplyMomentum,ApplyMomentum-op117,Default/optimizer-Momentum/ApplyMomentum-op117,1875,108.02,0.0576107,0.00255257,Default,5799
Host,Conv2DBackpropInput,Conv2DBackpropInput-op120,Gradients/Default/network-WithLossCell/_backbone-LeNet5/conv2-Conv2d/gradConv2D/Conv2DBackpropInput-op120,1875,3604.26,1.92227,0.0851706,Default,5799
Host,ReluGrad,ReluGrad-op118,Gradients/Default/network-WithLossCell/_backbone-LeNet5/relu-ReLU/gradReLU/ReluGrad-op118,1875,385.493,0.205596,0.00910939,Default,5799
Host,MatMul,MatMul-op107,Gradients/Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/gradMatMul/MatMul-op107,1875,341.062,0.1819,0.00805947,Default,5799
Host,ReluGrad,ReluGrad-op123,Gradients/Default/network-WithLossCell/_backbone-LeNet5/relu-ReLU/gradReLU/ReluGrad-op123,1875,548.693,0.292636,0.0129659,Default,5799
Host,MatMul,MatMul-op111,Gradients/Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/gradMatMul/MatMul-op111,1875,428.259,0.228405,0.01012,Default,5799
Host,ReLU,ReLU-op85,Default/network-WithLossCell/_backbone-LeNet5/relu-ReLU/ReLU-op85,1875,2060.78,1.09908,0.0486974,Default,5799
Host,ApplyMomentum,ApplyMomentum-op127,Default/optimizer-Momentum/ApplyMomentum-op127,1875,4.14566,0.00221102,9.79641e-05,Default,5799
Host,ReLU,ReLU-op88,Default/network-WithLossCell/_backbone-LeNet5/relu-ReLU/ReLU-op88,1875,734.419,0.39169,0.0173547,Default,5799
