op_side,op_type,op_name,full_op_name,op_occurrences,op_total_time(ms),op_avg_time(ms),total_proportion,subgraph,pid
Host,ReLU,ReLU-op93,Default/network-WithLossCell/_backbone-LeNet5/relu-ReLU/ReLU-op93,1875,360.18,0.192096,0.00851123,Default,5799
Host,MaxPool,MaxPool-op86,Default/network-WithLossCell/_backbone-LeNet5/max_pool2d-MaxPool2d/MaxPool-op86,1875,6520,3.47733,0.154071,Default,5799
Host,BiasAddGrad,BiasAddGrad-op106,Gradients/Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/gradBiasAdd/BiasAddGrad-op106,1875,8.53904,0.00455416,0.000201782,Default,5799
Host,MatMul,MatMul-op91,Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/MatMul-op91,1875,655.694,0.349703,0.0154944,Default,5799
Host,MatMul,MatMul-op112,Gradients/Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/gradMatMul/MatMul-op112,1875,510.427,0.272228,0.0120616,Default,5799
Host,Reshape,Reshape-op90,Default/network-WithLossCell/_backbone-LeNet5/flatten-Flatten/Reshape-op90,1875,19.8412,0.0105819,0.000468857,Default,5799
Host,MatMul,MatMul-op103,Gradients/Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/gradMatMul/MatMul-op103,1875,47.215,0.0251813,0.00111572,Default,5799
Host,ReluGrad,ReluGrad-op105,Gradients/Default/network-WithLossCell/_backbone-LeNet5/relu-ReLU/gradReLU/ReluGrad-op105,1875,178.878,0.0954015,0.00422698,Default,5799
Host,ApplyMomentum,ApplyMomentum-op126,Default/optimizer-Momentum/ApplyMomentum-op126,1875,22.1001,0.0117867,0.000522238,Default,5799
Host,MaxPool,MaxPool-op89,Default/network-WithLossCell/_backbone-LeNet5/max_pool2d-MaxPool2d/MaxPool-op89,1875,2466.38,1.3154,0.0582818,Default,5799
Host,MatMul,MatMul-op108,Gradients/Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/gradMatMul/MatMul-op108,1875,371.089,0.197914,0.00876903,Default,5799
Host,Conv2D,Conv2D-op84,Default/network-WithLossCell/_backbone-LeNet5/conv1-Conv2d/Conv2D-op84,1875,3808.02,2.03094,0.0899854,Default,5799
Host,SparseSoftmaxCrossEntropyWithLogits,SparseSoftmaxCrossEntropyWithLogits-op100,Gradients/Default/network-WithLossCell/_loss_fn-SoftmaxCrossEntropyWithLogits/gradSparseSoftmaxCrossEntropyWithLogits/SparseSoftmaxCrossEntropyWithLogits-op100,1875,339.164,0.180888,0.00801463,Default,5799
Host,BiasAddGrad,BiasAddGrad-op113,Gradients/Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/gradBiasAdd/BiasAddGrad-op113,1875,13.0306,0.00694968,0.000307921,Default,5799
Host,ApplyMomentum,ApplyMomentum-op109,Default/optimizer-Momentum/ApplyMomentum-op109,1875,12.4288,0.00662871,0.0002937,Default,5799
Host,Conv2D,Conv2D-op87,Default/network-WithLossCell/_backbone-LeNet5/conv2-Conv2d/Conv2D-op87,1875,3665.7,1.95504,0.0866223,Default,5799
Host,ApplyMomentum,ApplyMomentum-op114,Default/optimizer-Momentum/ApplyMomentum-op114,1875,5.15265,0.00274808,0.00012176,Default,5799
Host,BiasAdd,BiasAdd-op92,Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/BiasAdd-op92,1875,15.1515,0.00808082,0.000358039,Default,5799
Host,Conv2DBackpropFilter,Conv2DBackpropFilter-op125,Gradients/Default/network-WithLossCell/_backbone-LeNet5/conv1-Conv2d/gradConv2D/Conv2DBackpropFilter-op125,1875,3465.92,1.84849,0.0819016,Default,5799
Host,BiasAdd,BiasAdd-op95,Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/BiasAdd-op95,1875,11.0077,0.00587075,0.000260117,Default,5799
Host,ReluGrad,ReluGrad-op110,Gradients/Default/network-WithLossCell/_backbone-LeNet5/relu-ReLU/gradReLU/ReluGrad-op110,1875,25.9767,0.0138542,0.000613843,Default,5799
Host,ApplyMomentum,ApplyMomentum-op104,Default/optimizer-Momentum/ApplyMomentum-op104,1875,4.55479,0.00242922,0.000107632,Default,5799
Host,ReLU,ReLU-op96,Default/network-WithLossCell/_backbone-LeNet5/relu-ReLU/ReLU-op96,1875,308.399,0.16448,0.00728764,Default,5799
Host,MatMul,MatMul-op97,Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/MatMul-op97,1875,42.6151,0.0227281,0.00100702,Default,5799
Host,MatMul,MatMul-op94,Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/MatMul-op94,1875,434.853,0.231922,0.0102758,Default,5799
Host,BiasAdd,BiasAdd-op98,Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/BiasAdd-op98,1875,6.73614,0.00359261,0.000159179,Default,5799
Host,MaxPoolGrad,MaxPoolGrad-op122,Gradients/Default/network-WithLossCell/_backbone-LeNet5/max_pool2d-MaxPool2d/gradMaxPool/MaxPoolGrad-op122,1875,4166.85,2.22232,0.0984648,Default,5799
Host,SparseSoftmaxCrossEntropyWithLogits,SparseSoftmaxCrossEntropyWithLogits-op99,Default/network-WithLossCell/_loss_fn-SoftmaxCrossEntropyWithLogits/SparseSoftmaxCrossEntropyWithLogits-op99,1875,295.557,0.15763,0.00698417,Default,5799
Host,ApplyMomentum,ApplyMomentum-op121,Default/optimizer-Momentum/ApplyMomentum-op121,1875,4.22057,0.00225097,9.97343e-05,Default,5799
Host,MatMul,MatMul-op102,Gradients/Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/gradMatMul/MatMul-op102,1875,43.9432,0.0234364,0.0010384,Default,5799
Host,BiasAddGrad,BiasAddGrad-op101,Gradients/Default/network-WithLossCell/_backbone-LeNet5/fc3-Dense/gradBiasAdd/BiasAddGrad-op101,1875,552.896,0.294878,0.0130652,Default,5799
