Gradients/Default/network-WithLossCell/_loss_fn-MSELoss/gradSquare/Mul-op30;HostCpuOps;4435804708612,0.009226 4436208607180,0.002888 4436588872934,0.003019 4436905976781,0.001963 4437373152759,0.002535 4437923264255,0.015928 4438433680786,0.016084 4439031090066,0.009429 4439444744356,0.021209 4439874475004,0.003289 4440267828319,0.00973 4440588609549,0.003755 4440898458391,0.004235 4441352215082,0.003548 4441662802698,0.005196 4441963938170,0.002406 4442289661425,0.001613 4442659895116,0.001906 4442976256356,0.002645 4443369530985,0.001584 4443746673188,0.002494 4444068102510,0.001775 4444407305070,0.001565 4444800734545,0.002633 4445194320308,0.002757 4445506446258,0.002213 4445826313891,0.002597 4446146932672,0.002337 4446460079961,0.002753 4446762277124,0.002855 4447153597991,0.001246 4447458969961,0.001096 4447846874030,0.00115 4448192648268,0.00147 4448577367979,0.001407 4448877072276,0.001494 4449190710299,0.001525 4449490646997,0.001103 4449808051653,0.001596 4450121520793,0.001627 4450430022828,0.001227 4450748853733,0.001048 4451051472790,0.001621 4451371092976,0.00115 4451676641913,0.001573 4452070729673,0.001145 4452393499468,0.002067 4452877139926,0.00141 4453178069601,0.002065 4453499071192,0.001314 4453840676028,0.001492 4454182255655,0.001553 4454504717327,0.001942 4454809110210,0.001521 4455115181085,0.002147 4455430614369,0.001052 4455736725935,0.00113 4456131753397,0.00126 4456473806714,0.002342 4456797145118,0.001415 4457117488198,0.001843 4457495133495,0.001236 4457819195155,0.001964 4458149991615,0.001966 4458568233082,0.001273 4458893889102,0.001823 4459225475925,0.001685 4459547339616,0.001725 4459863861677,0.001311 4460180146853,0.001172 4460498065826,0.001227 4460895215907,0.001499 4461291364651,0.001582 4461621238518,0.001815 4461936420219,0.001325 4462261239161,0.001313 4462581392272,0.00163 4462899738650,0.001265 4463219354169,0.001441 4463543496557,0.001159 4463953122782,0.002025 4464431754063,0.001305 4464752179960,0.00127 4465152713429,0.001698 4465577890960,0.001436 4465905118194,0.001918 4466341219879,0.00181 4466662349728,0.001603 4467000191013,0.002631 4467327785733,0.001167 4467651390894,0.002144 4467974263411,0.002124 4468358830895,0.001478 4468678648495,0.001684 4469007954700,0.001968 4469329622560,0.001944 4469660184094,0.001979 4470008930310,0.001731 4470408237991,0.00181 4470727587362,0.001249 
Default/network-WithLossCell/_loss_fn-MSELoss/Sub-op28;HostCpuOps;4435804657231,0.008 4436208578421,0.003656 4436588839099,0.003149 4436905933013,0.002669 4437373119607,0.004222 4437923203551,0.004285 4438433602619,0.016742 4439031029560,0.00423 4439444699893,0.006759 4439874447390,0.004314 4440266960969,0.77804 4440588579768,0.006009 4440898421697,0.004511 4441352173147,0.003655 4441662764415,0.00466 4441963909797,0.003602 4442289611473,0.004621 4442659864771,0.002507 4442976219801,0.003414 4443369506099,0.002758 4443746566955,0.002826 4444068077375,0.00282 4444407282500,0.002161 4444800706726,0.002863 4445194278733,0.002684 4445506407799,0.004144 4445826284053,0.002501 4446146895797,0.00262 4446460048701,0.002702 4446762226384,0.003039 4447153565151,0.002285 4447458935605,0.002501 4447846842265,0.002141 4448192618411,0.002339 4448577330905,0.002256 4448877038551,0.002102 4449190671349,0.002336 4449490615260,0.002441 4449807995936,0.00227 4450121480779,0.00258 4450429993682,0.001703 4450748824334,0.002241 4451051421443,0.003054 4451371064430,0.00198 4451676594926,0.002366 4452070701761,0.002084 4452393455872,0.002274 4452877099047,0.002618 4453178027783,0.0025 4453499041730,0.001804 4453840642048,0.001874 4454182218310,0.002648 4454504674162,0.002914 4454809081442,0.001936 4455115137689,0.002376 4455430586464,0.002183 4455736693180,0.002345 4456131723058,0.001822 4456473764276,0.002627 4456797113146,0.00204 4457117442927,0.00233 4457495100484,0.002271 4457819156049,0.001829 4458149946737,0.002738 4458568198720,0.00219 4458893835814,0.002959 4459225428702,0.002941 4459547295679,0.0026 4459863828419,0.002129 4460180116699,0.001733 4460498031336,0.001996 4460895185173,0.002228 4461291332934,0.001804 4461621196795,0.00223 4461936386664,0.002313 4462261207685,0.002484 4462581345888,0.002733 4462899706704,0.002499 4463219321597,0.001805 4463543464874,0.001853 4463953077779,0.002371 4464431721116,0.002523 4464752145128,0.00226 4465152668041,0.003181 4465577857850,0.001812 4465905072949,0.002591 4466341172901,0.002976 4466662308681,0.002274 4467000143295,0.00245 4467327749904,0.002236 4467651346640,0.002467 4467974213064,0.003041 4468358787856,0.00246 4468678603662,0.002442 4469007906463,0.002942 4469329577758,0.002377 4469660136390,0.002953 4470008896528,0.002025 4470408194580,0.002547 4470727554172,0.002072 
Default/network-WithLossCell/_loss_fn-MSELoss/Square-op29;HostCpuOps;4435804687075,0.013506 4436208619131,0.00379 4436588867386,0.002795 4436905964550,0.002696 4437373147793,0.00266 4437923237823,0.011194 4438433653120,0.01142 4439031061530,0.009524 4439444731186,0.003546 4439874480634,0.022413 4440267770236,0.051373 4440588623744,0.005315 4440898445006,0.004968 4441352204689,0.004224 4441662790715,0.003182 4441963934792,0.002025 4442289637463,0.002308 4442659901287,0.002454 4442976242125,0.002193 4443369524753,0.001651 4443746667905,0.003169 4444068097018,0.003011 4444407298829,0.002465 4444800728300,0.001972 4445194309563,0.002246 4445506437182,0.002129 4445826305051,0.0022 4446146921438,0.002543 4446460076046,0.002175 4446762254080,0.003031 4447153571897,0.001577 4447458941745,0.001647 4447846849344,0.001375 4448192624303,0.001381 4448577338467,0.001875 4448877045167,0.001947 4449190678827,0.002025 4449490621076,0.001605 4449808017045,0.001536 4450121488259,0.001647 4450429999711,0.001329 4450748830066,0.001423 4451051432848,0.001693 4451371069424,0.001435 4451676604025,0.002216 4452070707318,0.001227 4452393464911,0.001908 4452877106679,0.002127 4453178036628,0.001771 4453499046775,0.00126 4453840648821,0.001445 4454182226071,0.00157 4454504683137,0.001975 4454809086701,0.001248 4455115146792,0.002227 4455430591771,0.001242 4455736699951,0.001399 4456131728550,0.001749 4456473772270,0.002013 4456797118909,0.001627 4457117451891,0.001742 4457495106930,0.001432 4457819162392,0.00154 4458149955231,0.001885 4458568206033,0.001422 4458893844457,0.00177 4459225437698,0.00195 4459547303199,0.002325 4459863834860,0.001491 4460180122260,0.001407 4460498038702,0.001639 4460895191119,0.001317 4461291339062,0.001432 4461621204206,0.00161 4461936393752,0.001324 4462261213870,0.001427 4462581355432,0.001996 4462899712733,0.001224 4463219328259,0.001311 4463543470760,0.001445 4463953086753,0.001808 4464431727177,0.001461 4464752152186,0.001984 4465152676678,0.002129 4465577864122,0.001825 4465905080635,0.001837 4466341182667,0.00193 4466662316548,0.002077 4467000152851,0.002622 4467327756435,0.002143 4467651354964,0.001675 4467974222546,0.001898 4468358796747,0.002283 4468678611366,0.001998 4469007916657,0.002262 4469329585898,0.001786 4469660146135,0.001965 4470008902376,0.001458 4470408203190,0.001717 4470727560084,0.001906 
Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/MatMul-op26;HostCpuOps;4435801998602,2.57119 4436208465644,0.043649 4436588766075,0.024292 4436905828918,0.018995 4437373021714,0.044225 4437923088514,0.020414 4438433187321,0.020821 4439030878450,0.018264 4439444591456,0.018836 4439874245718,0.017203 4440265877636,0.017784 4440588500900,0.016744 4440898340121,0.022896 4441352093747,0.017916 4441662679620,0.024018 4441963838360,0.024051 4442289530962,0.02381 4442659797167,0.01675 4442976146255,0.019644 4443369425857,0.016181 4443746493180,0.017696 4444068013844,0.017189 4444407217608,0.016946 4444800642256,0.016356 4445194220794,0.01633 4445506326810,0.024221 4445826205974,0.017727 4446146825684,0.018208 4446459970106,0.017615 4446762143151,0.017241 4447153530773,0.016393 4447458897571,0.018206 4447846809975,0.016101 4448192587910,0.014939 4448577292462,0.018868 4448877002162,0.016381 4449190632938,0.018076 4449490582210,0.016444 4449807953804,0.019148 4450121441858,0.01731 4450429962217,0.015804 4450748794991,0.014614 4451051374726,0.020935 4451371019904,0.028742 4451676551328,0.018525 4452070671771,0.014902 4452393413369,0.01958 4452877054824,0.019651 4453177988031,0.017664 4453499009483,0.015241 4453840611310,0.01515 4454182179129,0.017426 4454504631468,0.018971 4454809050870,0.015243 4455115095905,0.01851 4455430557444,0.014515 4455736659478,0.017056 4456131692013,0.014786 4456473729448,0.016602 4456797071517,0.015482 4457117397205,0.020526 4457495066816,0.016595 4457819118256,0.017588 4458149896107,0.019904 4458568164146,0.0161 4458893784939,0.022105 4459225382025,0.020828 4459547251987,0.019549 4459863795912,0.016352 4460180083815,0.016067 4460497997754,0.016252 4460895153499,0.015278 4461291300488,0.016359 4461621156910,0.018587 4461936348020,0.017035 4462261167866,0.018355 4462581300561,0.020462 4462899672905,0.015784 4463219288630,0.015429 4463543432484,0.015622 4463953032376,0.020994 4464431686452,0.016302 4464752110737,0.016953 4465152628817,0.01935 4465577823686,0.016471 4465905026389,0.021078 4466341126941,0.020373 4466662265631,0.019579 4467000098934,0.01984 4467327712997,0.017452 4467651299882,0.021409 4467974161728,0.022048 4468358744058,0.019962 4468678561860,0.01895 4469007859587,0.021857 4469329534353,0.019152 4469660089821,0.020128 4470008862483,0.01648 4470408152119,0.019158 4470727520756,0.015481 
Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/BiasAdd-op27;HostCpuOps;4435804629398,0.011366 4436208541465,0.014843 4436588816712,0.003547 4436905897483,0.004511 4437373091573,0.007165 4437923155319,0.017787 4438433553025,0.017651 4439030939041,0.050205 4439444640785,0.035663 4439874288871,0.131571 4440265921358,1.0058 4440588545936,0.01484 4440898387411,0.017559 4441352141942,0.013836 4441662721761,0.016508 4441963884099,0.002643 4442289590173,0.002094 4442659840743,0.00262 4442976200648,0.003245 4443369488196,0.002621 4443746537159,0.003097 4444068055218,0.002796 4444407265446,0.002319 4444800678635,0.003075 4445194262856,0.002511 4445506385372,0.002911 4445826257384,0.002733 4446146871264,0.002964 4446460012037,0.002479 4446762189171,0.004767 4447153552424,0.002256 4447458922270,0.00246 4447846831037,0.001916 4448192607567,0.001775 4448577317150,0.002427 4448877024723,0.002278 4449190657005,0.002378 4449490603394,0.002426 4449807980465,0.002548 4450121465508,0.002666 4450429981902,0.002581 4450748813511,0.002055 4451051402401,0.004092 4451371052939,0.002056 4451676577456,0.003156 4452070691068,0.001738 4452393440059,0.002634 4452877081925,0.00272 4453178012262,0.002866 4453499029175,0.00187 4453840630853,0.00223 4454182202802,0.002505 4454504657834,0.002504 4454809070443,0.001897 4455115121659,0.002968 4455430576402,0.001707 4455736681308,0.002352 4456131711473,0.001906 4456473751020,0.00189 4456797091909,0.002422 4457117425268,0.003194 4457495088205,0.00208 4457819142341,0.002996 4458149922858,0.002738 4458568186998,0.001977 4458893814924,0.005297 4459225411871,0.002849 4459547278789,0.002914 4459863816623,0.002318 4460180104520,0.002344 4460498019016,0.002021 4460895173550,0.002256 4461291320968,0.001982 4461621181734,0.002501 4461936372250,0.002961 4462261192786,0.002899 4462581329345,0.002968 4462899694070,0.002135 4463219309287,0.001953 4463543453325,0.001981 4463953061033,0.003217 4464431708164,0.001989 4464752132821,0.002441 4465152653394,0.00233 4465577844918,0.002638 4465905055083,0.003273 4466341155211,0.002737 4466662292096,0.002605 4467000126168,0.00298 4467327736429,0.002025 4467651329115,0.002797 4467974193113,0.003384 4468358770878,0.002972 4468678587430,0.002846 4469007889589,0.002743 4469329560601,0.003156 4469660118289,0.002916 4470008883696,0.002016 4470408178346,0.002922 4470727541169,0.002491 
Default/optimizer-Momentum/ApplyMomentum-op34;HostCpuOps;4435804897430,0.001662 4436208668756,0.000993 4436588914751,0.000572 4436906087686,0.000859 4437373223911,0.000882 4437923390677,0.000856 4438433768790,0.000811 4439031196222,0.000678 4439444853688,0.00084 4439874531063,0.000803 4440267912706,0.001359 4440588693383,0.001105 4440898508537,0.000644 4441352280313,0.000838 4441662875563,0.001097 4441964120678,0.001212 4442289725103,0.001186 4442659975247,0.000953 4442976300546,0.000778 4443369588936,0.000734 4443746894840,0.001072 4444068276400,0.001069 4444407334171,0.000715 4444800805224,0.00077 4445194383622,0.000602 4445506514386,0.000739 4445826367471,0.001617 4446147012748,0.000665 4446460142304,0.000755 4446762347100,0.000966 4447153608966,0.000912 4447458982666,0.000846 4447846885080,0.000516 4448192659273,0.000477 4448577380584,0.000691 4448877083433,0.000884 4449190724367,0.00078 4449490658104,0.000446 4449808065442,0.000798 4450121535984,0.000859 4450430032721,0.000813 4450748864462,0.000553 4451051492990,0.000601 4451371103206,0.000486 4451676656990,0.000764 4452070740139,0.00042 4452393514099,0.00064 4452877154712,0.000709 4453178083966,0.000724 4453499082674,0.000832 4453840688909,0.000895 4454182267868,0.000556 4454504732458,0.000648 4454809121081,0.000451 4455115196370,0.000692 4455430624164,0.000471 4455736736739,0.000608 4456131765264,0.000555 4456473823754,0.000639 4456797156724,0.000808 4457117504020,0.000656 4457495145208,0.000549 4457819207845,0.000567 4458150008653,0.000669 4458568245884,0.000899 4458893907135,0.001034 4459225491735,0.000768 4459547355625,0.000688 4459863872029,0.000506 4460180157708,0.000957 4460498076860,0.000704 4460895227339,0.000876 4461291376714,0.000522 4461621252914,0.000696 4461936431728,0.000692 4462261251548,0.000527 4462581408461,0.00086 4462899750700,0.00057 4463219365354,0.000578 4463543509093,0.000725 4463953138274,0.001018 4464431765938,0.000601 4464752191340,0.000463 4465152731970,0.000737 4465577902062,0.000895 4465905135225,0.000671 4466341236129,0.001317 4466662364936,0.00067 4467000208656,0.000744 4467327798404,0.000597 4467651407748,0.000959 4467974282888,0.000676 4468358841988,0.000549 4468678661601,0.000955 4469007971544,0.001149 4469329638754,0.000609 4469660200460,0.000818 4470008947080,0.000523 4470408252302,0.000673 4470727599805,0.000644 
Default/optimizer-Momentum/ApplyMomentum-op35;HostCpuOps;4435804915184,0.005353 4436208689457,0.000747 4436588930905,0.000849 4436906112446,0.000346 4437373243065,0.000394 4437923467769,0.000772 4438433805017,0.000454 4439031218308,0.000497 4439444879410,0.00049 4439874564720,0.000603 4440267933854,0.00101 4440588710785,0.000593 4440898522633,0.000346 4441352297162,0.000414 4441662899616,0.000416 4441964138880,0.000692 4442289741429,0.000713 4442659991655,0.000547 4442976312700,0.000616 4443369605846,0.00114 4443746948615,0.000655 4444068297242,0.000561 4444407436159,0.000509 4444800835238,0.000492 4445194403259,0.00061 4445506536019,0.000779 4445826388580,0.000525 4446147032124,0.000803 4446460165450,0.000448 4446762370857,0.000371 4447153624456,0.000219 4447459001235,0.000257 4447846901400,0.000263 4448192672980,0.000217 4448577399515,0.000723 4448877101321,0.000189 4449190745904,0.000333 4449490673323,0.000222 4449808089215,0.00033 4450121558500,0.0003 4450430046126,0.000217 4450748877528,0.000184 4451051520781,0.000417 4451371117733,0.000213 4451676680664,0.000292 4452070753897,0.000223 4452393535676,0.000374 4452877176600,0.00034 4453178106963,0.000322 4453499096509,0.000277 4453840708825,0.000341 4454182283657,0.000302 4454504754928,0.000334 4454809134727,0.000213 4455115218817,0.000389 4455430637909,0.00021 4455736751734,0.000322 4456131779943,0.000241 4456473846384,0.000303 4456797172738,0.000239 4457117529759,0.00045 4457495162847,0.000587 4457819227284,0.000276 4458150032856,0.000349 4458568268057,0.000258 4458893934512,0.000454 4459225517143,0.000406 4459547378099,0.000405 4459863887061,0.000292 4460180173085,0.000243 4460498092058,0.000249 4460895242140,0.000263 4461291392655,0.000296 4461621277107,0.000344 4461936453867,0.000418 4462261271613,0.000291 4462581431834,0.000504 4462899766219,0.00022 4463219380674,0.000275 4463543530478,0.000331 4463953162664,0.000395 4464431782506,0.00031 4464752206978,0.000292 4465152758797,0.000334 4465577917886,0.000558 4465905161100,0.000415 4466341261784,0.000368 4466662387121,0.000522 4467000233950,0.000976 4467327814248,0.000634 4467651433426,0.000663 4467974310216,0.000414 4468358859631,0.00025 4468678683788,0.000315 4469007998873,0.000413 4469329663572,0.000371 4469660226770,0.000395 4470008967605,0.000352 4470408276618,0.000435 4470727615456,0.000293 
Gradients/Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/gradMatMul/MatMul-op32;HostCpuOps;4435804829728,0.026404 4436208628694,0.012875 4436588898149,0.006888 4436906028479,0.009488 4437373176833,0.008869 4437923326330,0.010498 4438433727406,0.011143 4439031141077,0.008503 4439444810397,0.009937 4439874518431,0.010819 4440267887495,0.015672 4440588638051,0.010056 4440898476869,0.008617 4441352236863,0.007291 4441662831015,0.009717 4441963963598,0.006362 4442289681134,0.009476 4442659917287,0.00676 4442976286362,0.009972 4443369549772,0.010847 4443746716722,0.012422 4444068234270,0.010347 4444407404793,0.01066 4444800757948,0.009814 4445194345054,0.013042 4445506484497,0.008954 4445826347338,0.008875 4446146951675,0.008037 4446460104839,0.008578 4446762296323,0.012932 4447153615604,0.004549 4447458990304,0.006267 4447846892604,0.004497 4448192665367,0.004225 4448577388170,0.005929 4448877089972,0.006203 4449190733192,0.006615 4449490664948,0.004515 4449808074961,0.007175 4450121545536,0.006879 4450430038543,0.003835 4450748869960,0.004354 4451051501858,0.010241 4451371109342,0.004627 4451676666708,0.007473 4452070746170,0.004128 4452393522850,0.007192 4452877163749,0.007501 4453178093268,0.007768 4453499088894,0.004065 4453840697568,0.00638 4454182274462,0.005325 4454504741611,0.007575 4454809127086,0.004108 4455115205991,0.007053 4455430629824,0.004549 4455736742997,0.004974 4456131771496,0.004554 4456473833587,0.007591 4456797163825,0.004685 4457117514086,0.009152 4457495151965,0.00505 4457819215838,0.006915 4458150018959,0.008065 4458568254055,0.006855 4458893918605,0.009018 4459225502326,0.00777 4459547365015,0.00732 4459863878059,0.004755 4460180164699,0.004632 4460498083346,0.004381 4460895234054,0.004217 4461291382955,0.004958 4461621262754,0.008509 4461936441446,0.007028 4462261258626,0.006575 4462581417691,0.008106 4462899757403,0.004647 4463219372304,0.004415 4463543518408,0.006444 4463953148404,0.007495 4464431772874,0.005217 4464752197989,0.00494 4465152743531,0.008577 4465577908980,0.005003 4465905145421,0.008961 4466341246449,0.009094 4466662374710,0.00727 4467000219661,0.008294 4467327805595,0.00493 4467651418811,0.007974 4467974293776,0.009366 4468358849080,0.006393 4468678669039,0.0083 4469007982668,0.009687 4469329649497,0.008167 4469660211329,0.008607 4470008954583,0.007236 4470408262065,0.008291 4470727606695,0.00484 
Gradients/Default/network-WithLossCell/_backbone-LinearNet/fc-Dense/gradBiasAdd/BiasAddGrad-op33;HostCpuOps;4435804867384,0.003312 4436208649803,0.001832 4436588893842,0.002015 4436906044765,0.001496 4437373204499,0.001707 4437923344004,0.001887 4438433748409,0.001598 4439031155879,0.00137 4439444832667,0.002289 4439874505874,0.002149 4440267859934,0.003091 4440588654612,0.002297 4440898493346,0.00178 4441352251686,0.001815 4441662849370,0.003164 4441963975574,0.001574 4442289698865,0.002444 4442659930900,0.001585 4442976279064,0.00126 4443369568003,0.001615 4443746737686,0.002153 4444068251971,0.002289 4444407322106,0.001318 4444800780082,0.002419 4445194365627,0.001685 4445506499406,0.001693 4445826333071,0.00173 4446146969379,0.002681 4446460119741,0.002095 4446762321003,0.002111 4447153604210,0.001168 4447458976931,0.000877 4447846880289,0.000828 4448192655046,0.000766 4448577374820,0.001435 4448877079101,0.000766 4449190717603,0.001355 4449490653690,0.000872 4449808059248,0.001193 4450121529509,0.001194 4450430028227,0.000753 4450748860061,0.000868 4451051482586,0.002194 4451371099204,0.000769 4451676650351,0.001069 4452070735904,0.001159 4452393507458,0.00141 4452877148837,0.001248 4453178077728,0.001176 4453499078480,0.000803 4453840683077,0.00116 4454182262914,0.00094 4454504725392,0.001794 4454809116888,0.000787 4455115189334,0.001604 4455430620242,0.000838 4455736731602,0.001397 4456131760720,0.001003 4456473816006,0.001515 4456797152270,0.000967 4457117496798,0.001206 4457495140427,0.000829 4457819202638,0.000915 4458150002014,0.001122 4458568239955,0.000936 4458893899099,0.002017 4459225484060,0.001396 4459547348765,0.00155 4459863867379,0.001091 4460180153681,0.00083 4460498071837,0.000815 4460895222838,0.000872 4461291370869,0.001154 4461621247353,0.000931 4461936426326,0.000835 4462261246519,0.000869 4462581401048,0.001176 4462899745891,0.00086 4463219360443,0.000886 4463543504027,0.000825 4463953131193,0.001356 4464431761297,0.000865 4464752186056,0.000936 4465152723641,0.001467 4465577897097,0.000993 4465905128008,0.00138 4466341228916,0.001343 4466662358647,0.001305 4467000200764,0.001426 4467327793432,0.000867 4467651400419,0.00145 4467974275142,0.001419 4468358837126,0.000986 4468678656601,0.000906 4469007963854,0.001695 4469329633211,0.001395 4469660193311,0.00165 4470008940639,0.001441 4470408245772,0.001301 4470727594989,0.000884 
Default/network-WithLossCell/_loss_fn-MSELoss/ReduceMean-op31;HostCpuOps;4435804726101,0.008296 4436208656325,0.0045 4436588888050,0.004196 4436906010879,0.005104 4437373170859,0.004688 4437923308611,0.005275 4438433788600,0.005279 4439031124666,0.005023 4439444774965,0.006846 4439874539124,0.005002 4440267850836,0.005278 4440588671224,0.004321 4440898468098,0.004285 4441352223748,0.004112 4441662819741,0.004655 4441963948398,0.00607 4442289669727,0.005113 4442659943364,0.005308 4442976267691,0.005596 4443369542127,0.004538 4443746694648,0.00619 4444068221972,0.006204 4444407315035,0.005574 4444800747052,0.004672 4445194334204,0.005308 4445506470747,0.00721 4445826326356,0.004485 4446146938081,0.003987 4446460092454,0.004459 4446762283591,0.005166 4447153577966,0.00335 4447458947806,0.004435 4447846854533,0.003451 4448192629800,0.003619 4448577344770,0.00413 4448877052156,0.003732 4449190685219,0.003842 4449490626759,0.004198 4449808024219,0.005097 4450121495704,0.00411 4450430004361,0.003107 4450748835525,0.003235 4451051440583,0.006234 4451371074847,0.003461 4451676613236,0.004653 4452070712478,0.003273 4452393471580,0.004757 4452877114526,0.004254 4453178043158,0.004641 4453499052223,0.003698 4453840653954,0.003591 4454182233436,0.004245 4454504689870,0.004364 4454809091975,0.003081 4455115153655,0.004884 4455430596842,0.003305 4455736704826,0.003753 4456131734238,0.003589 4456473779145,0.004426 4456797125067,0.00365 4457117458419,0.004345 4457495112827,0.003821 4457819169217,0.004917 4458149963727,0.005193 4458568211239,0.00382 4458893853444,0.006264 4459225445577,0.004513 4459547311487,0.004482 4459863840023,0.003919 4460180127832,0.003339 4460498044263,0.003804 4460895196693,0.003612 4461291344386,0.003277 4461621211786,0.00472 4461936398415,0.003958 4462261219599,0.003828 4462581363175,0.004784 4462899718294,0.004076 4463219333247,0.003648 4463543476642,0.003807 4463953093773,0.005544 4464431733121,0.003978 4464752158048,0.00446 4465152685291,0.005289 4465577869535,0.004043 4465905089206,0.004598 4466341189712,0.004534 4466662323798,0.00455 4467000160226,0.005281 4467327763453,0.004272 4467651361394,0.004714 4467974231120,0.005422 4468358803937,0.005267 4468678619235,0.005061 4469007924150,0.00507 4469329593558,0.004407 4469660152775,0.004896 4470008908252,0.004148 4470408209904,0.004938 4470727566461,0.004177 
