op_type,type_occurrences,execution_frequency(per-step),total_compute_time,avg_time(ms),percent
Mul,100,1,0.255583,0.00255583,0.0279783
Square,100,1,0.30813,0.0030813,0.0337305
Sub,100,1,1.06447,0.0106447,0.116526
ApplyMomentum,200,2,0.124384,0.00062192,0.0136161
BiasAddGrad,100,1,0.140542,0.00140542,0.0153849
BiasAdd,100,1,1.58385,0.0158385,0.173381
MatMul,200,2,5.20241,0.0260121,0.5695
ReduceMean,100,1,0.455681,0.00455681,0.0498827
